Consolidate compiler generated dependencies of target dataAnalysis
[ 33%] Building CXX object CMakeFiles/dataAnalysis.dir/src/archiveReader.cpp.o
[ 66%] Linking CXX executable dataAnalysis
[100%] Built target dataAnalysis
AC 0 2 46511 2020-08-23
AC 0 3 23236 2020-08-23
AC 1 0 43151 2020-08-23
AC 0 2 19596 2020-08-23
AC 2 54 894470 2020-08-23
AC 0 0 15490 2020-08-24
AC 0 0 7534 2020-08-24
AC 1 -1 26702 2020-08-24
AC 0 0 10420 2020-08-24
AC 0 0 12008 2020-08-24
AC 1 0 89072 2020-08-24
AC 0 0 18696 2020-08-24
AC 0 0 34884 2020-08-24
AC 0 0 8473 2020-08-24
AC 0 0 9581 2020-08-24
AC 0 1 19299 2020-08-24
AC 0 2 19311 2020-08-24
AC 0 0 19955 2020-08-24
AC 0 0 18824 2020-08-24
AC 0 0 12241 2020-08-24
AC 1 4 413418 2020-08-24
AC 0 0 19351 2020-08-24
AC 0 -1 6717 2020-08-24
AC 0 5 46511 2020-08-24
AC 0 0 23236 2020-08-24
AC 0 0 43151 2020-08-24
AC 1 0 19596 2020-08-24
AC 4 10 894470 2020-08-24
AC 0 12 15490 2020-08-25
AC 0 8 7534 2020-08-25
AC 0 2 26702 2020-08-25
AC 0 0 10420 2020-08-25
AC 0 2 12008 2020-08-25
AC 0 5 89072 2020-08-25
AC 0 10 18696 2020-08-25
AC 0 8 34884 2020-08-25
AC 0 0 8473 2020-08-25
AC 0 5 9581 2020-08-25
AC 0 7 19299 2020-08-25
AC 0 57 19311 2020-08-25
AC 0 3 19955 2020-08-25
AC 0 0 18824 2020-08-25
AC 0 0 12241 2020-08-25
AC 1 23 413418 2020-08-25
AC 0 1 19351 2020-08-25
AC 0 1 6717 2020-08-25
AC 1 18 46511 2020-08-25
AC 1 7 23236 2020-08-25
AC 0 1 43151 2020-08-25
AC 0 37 19596 2020-08-25
AC 3 207 894470 2020-08-25
AC 0 2 15490 2020-08-26
AC 0 7 7534 2020-08-26
AC 0 4 26702 2020-08-26
AC 0 0 10420 2020-08-26
AC 0 0 12008 2020-08-26
AC 0 12 89072 2020-08-26
AC 0 3 18696 2020-08-26
AC 0 13 34884 2020-08-26
AC 0 14 8473 2020-08-26
AC 0 2 9581 2020-08-26
AC 0 7 19299 2020-08-26
AC 0 0 19311 2020-08-26
AC 0 1 19955 2020-08-26
AC 0 1 18824 2020-08-26
AC 0 0 12241 2020-08-26
AC 0 36 413418 2020-08-26
AC 0 0 19351 2020-08-26
AC 0 12 6717 2020-08-26
AC 0 18 46511 2020-08-26
AC 0 14 23236 2020-08-26
AC 0 11 43151 2020-08-26
AC 0 26 19596 2020-08-26
AC 0 183 894470 2020-08-26
AC 0 3 15490 2020-08-27
AC 0 3 7534 2020-08-27
AC 0 3 26702 2020-08-27
AC 0 0 10420 2020-08-27
AC 0 1 12008 2020-08-27
AC 0 18 89072 2020-08-27
AC 0 0 18696 2020-08-27
AC 0 24 34884 2020-08-27
AC 0 2 8473 2020-08-27
AC 0 0 9581 2020-08-27
AC 0 3 19299 2020-08-27
AC 0 7 19311 2020-08-27
AC 0 1 19955 2020-08-27
AC 0 1 18824 2020-08-27
AC 0 0 12241 2020-08-27
AC 0 21 413418 2020-08-27
AC 0 0 19351 2020-08-27
AC 0 6 6717 2020-08-27
AC 0 9 46511 2020-08-27
AC 0 15 23236 2020-08-27
AC 0 11 43151 2020-08-27
AC 0 22 19596 2020-08-27
AC 0 150 894470 2020-08-27
AC 0 2 15490 2020-08-28
AC 0 4 7534 2020-08-28
AC 0 8 26702 2020-08-28
AC 0 2 10420 2020-08-28
AC 0 0 12008 2020-08-28
AC 0 36 89072 2020-08-28
AC 0 2 18696 2020-08-28
AC 0 10 34884 2020-08-28
AC 0 12 8473 2020-08-28
AC 0 2 9581 2020-08-28
AC 0 7 19299 2020-08-28
AC 0 24 19311 2020-08-28
AC 0 0 19955 2020-08-28
AC 0 0 18824 2020-08-28
AC 0 4 12241 2020-08-28
AC 1 41 413418 2020-08-28
AC 0 0 19351 2020-08-28
AC 0 1 6717 2020-08-28
AC 0 8 46511 2020-08-28
AC 0 7 23236 2020-08-28
AC 0 1 43151 2020-08-28
AC 0 22 19596 2020-08-28
AC 1 193 894470 2020-08-28
AC 0 1 15490 2020-08-29
AC 0 9 7534 2020-08-29
AC 0 0 26702 2020-08-29
AC 0 2 10420 2020-08-29
AC 0 0 12008 2020-08-29
AC 0 15 89072 2020-08-29
AC 0 2 18696 2020-08-29
AC 0 12 34884 2020-08-29
AC 0 -1 8473 2020-08-29
AC 0 1 9581 2020-08-29
AC 0 2 19299 2020-08-29
AC 0 0 19311 2020-08-29
AC 0 1 19955 2020-08-29
AC 0 0 18824 2020-08-29
AC 0 10 12241 2020-08-29
AC 0 34 413418 2020-08-29
AC 0 1 19351 2020-08-29
AC 0 0 6717 2020-08-29
AC 0 18 46511 2020-08-29
AC 0 0 23236 2020-08-29
AC 0 16 43151 2020-08-29
AC 0 16 19596 2020-08-29
AC 0 139 894470 2020-08-29
AC 0 0 15490 2020-08-30
AC 0 0 7534 2020-08-30
AC 0 4 26702 2020-08-30
AC 0 0 10420 2020-08-30
AC 0 0 12008 2020-08-30
AC 0 0 89072 2020-08-30
AC 0 0 18696 2020-08-30
AC 0 23 34884 2020-08-30
AC 0 0 8473 2020-08-30
AC 0 0 9581 2020-08-30
AC 0 0 19299 2020-08-30
AC 0 0 19311 2020-08-30
AC 0 0 19955 2020-08-30
AC 0 1 18824 2020-08-30
AC 0 0 12241 2020-08-30
AC 1 9 413418 2020-08-30
AC 0 0 19351 2020-08-30
AC 0 0 6717 2020-08-30
AC 0 0 46511 2020-08-30
AC 0 0 23236 2020-08-30
AC 0 0 43151 2020-08-30
AC 0 0 19596 2020-08-30
AC 1 37 894470 2020-08-30
AC 0 0 15490 2020-08-31
AC 0 0 7534 2020-08-31
AC 1 0 26702 2020-08-31
AC 0 0 10420 2020-08-31
AC 0 0 12008 2020-08-31
AC 1 0 89072 2020-08-31
AC 0 0 18696 2020-08-31
AC 0 -2 34884 2020-08-31
AC 0 0 8473 2020-08-31
AC 0 0 9581 2020-08-31
AC 0 0 19299 2020-08-31
AC 0 0 19311 2020-08-31
AC 0 2 19955 2020-08-31
AC 0 0 18824 2020-08-31
AC 0 0 12241 2020-08-31
AC 1 4 413418 2020-08-31
AC 0 0 19351 2020-08-31
AC 0 0 6717 2020-08-31
AC 0 2 46511 2020-08-31
AC 0 0 23236 2020-08-31
AC 0 0 43151 2020-08-31
AC 0 3 19596 2020-08-31
AC 3 9 894470 2020-08-31
AC 0 0 15490 2020-09-01
AC 0 1 7534 2020-09-01
AC 0 2 26702 2020-09-01
AC 0 1 10420 2020-09-01
AC 0 1 12008 2020-09-01
AC 1 16 89072 2020-09-01
AC 0 0 18696 2020-09-01
AC 0 12 34884 2020-09-01
AC 0 3 8473 2020-09-01
AC 0 3 9581 2020-09-01
AC 0 4 19299 2020-09-01
AC 0 18 19311 2020-09-01
AC 0 0 19955 2020-09-01
AC 0 0 18824 2020-09-01
AC 0 5 12241 2020-09-01
AC 1 32 413418 2020-09-01
AC 1 2 19351 2020-09-01
AC 0 0 6717 2020-09-01
AC 0 16 46511 2020-09-01
AC 0 14 23236 2020-09-01
AC 0 37 43151 2020-09-01
AC 1 26 19596 2020-09-01
AC 4 193 894470 2020-09-01
AC 0 0 15490 2020-09-02
AC 0 0 7534 2020-09-02
AC 0 0 26702 2020-09-02
AC 0 0 10420 2020-09-02
AC 0 0 12008 2020-09-02
AC 0 0 89072 2020-09-02
AC 0 0 18696 2020-09-02
AC 0 0 34884 2020-09-02
AC 0 0 8473 2020-09-02
AC 0 0 9581 2020-09-02
AC 0 0 19299 2020-09-02
AC 0 0 19311 2020-09-02
AC 0 0 19955 2020-09-02
AC 0 0 18824 2020-09-02
AC 0 0 12241 2020-09-02
AC 0 0 413418 2020-09-02
AC 0 0 19351 2020-09-02
AC 0 0 6717 2020-09-02
AC 0 0 46511 2020-09-02
AC 0 0 23236 2020-09-02
AC 0 0 43151 2020-09-02
AC 0 0 19596 2020-09-02
AC 2 187 894470 2020-09-02
AC 1 4 15490 2020-09-03
AC 0 2 7534 2020-09-03
AC 1 14 26702 2020-09-03
AC 0 0 10420 2020-09-03
AC 0 0 12008 2020-09-03
AC 1 15 89072 2020-09-03
AC 0 -2 18696 2020-09-03
AC 0 15 34884 2020-09-03
AC 0 2 8473 2020-09-03
AC 0 2 9581 2020-09-03
AC 0 5 19299 2020-09-03
AC 0 60 19311 2020-09-03
AC 0 3 19955 2020-09-03
AC 0 1 18824 2020-09-03
AC 0 6 12241 2020-09-03
AC 2 52 413418 2020-09-03
AC 0 0 19351 2020-09-03
AC 0 16 6717 2020-09-03
AC 0 16 46511 2020-09-03
AC 1 2 23236 2020-09-03
AC 0 49 43151 2020-09-03
AC 0 33 19596 2020-09-03
AC 4 108 894470 2020-09-03
AC 0 0 15490 2020-09-04
AC 0 5 7534 2020-09-04
AC 0 7 26702 2020-09-04
AC 0 0 10420 2020-09-04
AC 0 0 12008 2020-09-04
AC 0 16 89072 2020-09-04
AC 0 2 18696 2020-09-04
AC 0 0 34884 2020-09-04
AC 0 0 8473 2020-09-04
AC 0 3 9581 2020-09-04
AC 0 6 19299 2020-09-04
AC 0 -4 19311 2020-09-04
AC 0 0 19955 2020-09-04
AC 0 0 18824 2020-09-04
AC 0 2 12241 2020-09-04
AC 1 13 413418 2020-09-04
AC 0 2 19351 2020-09-04
AC 0 13 6717 2020-09-04
AC 0 9 46511 2020-09-04
AC 0 2 23236 2020-09-04
AC 0 25 43151 2020-09-04
AC 0 13 19596 2020-09-04
AC 1 114 894470 2020-09-04
AC 0 3 15490 2020-09-05
AC 0 7 7534 2020-09-05
AC 0 3 26702 2020-09-05
AC 0 1 10420 2020-09-05
AC 0 0 12008 2020-09-05
AC 0 29 89072 2020-09-05
AC 0 -1 18696 2020-09-05
AC 0 15 34884 2020-09-05
AC 0 9 8473 2020-09-05
AC 0 1 9581 2020-09-05
AC 0 4 19299 2020-09-05
AC 1 23 19311 2020-09-05
AC 0 1 19955 2020-09-05
AC 0 1 18824 2020-09-05
AC 0 5 12241 2020-09-05
AC 0 25 413418 2020-09-05
AC 0 0 19351 2020-09-05
AC 0 5 6717 2020-09-05
AC 0 9 46511 2020-09-05
AC 0 3 23236 2020-09-05
AC 0 2 43151 2020-09-05
AC 0 14 19596 2020-09-05
AC 1 159 894470 2020-09-05
AC 0 0 15490 2020-09-06
AC 0 0 7534 2020-09-06
AC 0 0 26702 2020-09-06
AC 0 0 10420 2020-09-06
AC 0 1 12008 2020-09-06
AC 0 0 89072 2020-09-06
AC 0 0 18696 2020-09-06
AC 0 0 34884 2020-09-06
AC 0 0 8473 2020-09-06
AC 0 0 9581 2020-09-06
AC 0 0 19299 2020-09-06
AC 0 0 19311 2020-09-06
AC 0 0 19955 2020-09-06
AC 0 0 18824 2020-09-06
AC 0 0 12241 2020-09-06
AC 0 34 413418 2020-09-06
AC 0 0 19351 2020-09-06
AC 0 0 6717 2020-09-06
AC 0 0 46511 2020-09-06
AC 0 0 23236 2020-09-06
AC 0 0 43151 2020-09-06
AC 0 0 19596 2020-09-06
AC 0 35 894470 2020-09-06
AC 0 0 15490 2020-09-07
AC 0 1 7534 2020-09-07
AC 0 2 26702 2020-09-07
AC 0 1 10420 2020-09-07
AC 0 0 12008 2020-09-07
AC 0 0 89072 2020-09-07
AC 0 5 18696 2020-09-07
AC 0 1 34884 2020-09-07
AC 0 0 8473 2020-09-07
AC 0 0 9581 2020-09-07
AC 0 1 19299 2020-09-07
AC 0 0 19311 2020-09-07
AC 0 0 19955 2020-09-07
AC 0 1 18824 2020-09-07
AC 0 0 12241 2020-09-07
AC 0 10 413418 2020-09-07
AC 0 0 19351 2020-09-07
AC 0 0 6717 2020-09-07
AC 0 2 46511 2020-09-07
AC 0 1 23236 2020-09-07
AC 0 0 43151 2020-09-07
AC 0 1 19596 2020-09-07
AC 0 26 894470 2020-09-07
AC 0 2 15490 2020-09-08
AC 0 2 7534 2020-09-08
AC 0 2 26702 2020-09-08
AC 0 0 10420 2020-09-08
AC 0 0 12008 2020-09-08
AC 1 1 89072 2020-09-08
AC 0 0 18696 2020-09-08
AC 0 0 34884 2020-09-08
AC 0 0 8473 2020-09-08
AC 0 0 9581 2020-09-08
AC 0 0 19299 2020-09-08
AC 0 6 19311 2020-09-08
AC 0 0 19955 2020-09-08
AC 0 1 18824 2020-09-08
AC 0 0 12241 2020-09-08
AC 5 9 413418 2020-09-08
AC 0 0 19351 2020-09-08
AC 0 0 6717 2020-09-08
AC 0 0 46511 2020-09-08
AC 0 1 23236 2020-09-08
AC 0 0 43151 2020-09-08
AC 0 1 19596 2020-09-08
AC 6 25 894470 2020-09-08
AC 0 0 15490 2020-09-09
AC 0 17 7534 2020-09-09
AC 0 0 26702 2020-09-09
AC 1 1 10420 2020-09-09
AC 0 0 12008 2020-09-09
AC 0 15 89072 2020-09-09
AC 0 1 18696 2020-09-09
AC 0 4 34884 2020-09-09
AC 0 0 8473 2020-09-09
AC 0 0 9581 2020-09-09
AC 0 12 19299 2020-09-09
AC 0 0 19311 2020-09-09
AC 0 1 19955 2020-09-09
AC 0 1 18824 2020-09-09
AC 0 0 12241 2020-09-09
AC 0 17 413418 2020-09-09
AC 0 1 19351 2020-09-09
AC 0 15 6717 2020-09-09
AC 0 9 46511 2020-09-09
AC 0 13 23236 2020-09-09
AC 0 51 43151 2020-09-09
AC 0 16 19596 2020-09-09
AC 1 174 894470 2020-09-09
AC 0 3 15490 2020-09-10
AC 0 6 7534 2020-09-10
AC 0 2 26702 2020-09-10
AC 0 0 10420 2020-09-10
AC 0 0 12008 2020-09-10
AC 1 29 89072 2020-09-10
AC 0 0 18696 2020-09-10
AC 0 14 34884 2020-09-10
AC 0 11 8473 2020-09-10
AC 0 3 9581 2020-09-10
AC 0 6 19299 2020-09-10
AC 0 13 19311 2020-09-10
AC 0 3 19955 2020-09-10
AC 0 0 18824 2020-09-10
AC 0 3 12241 2020-09-10
AC 3 29 413418 2020-09-10
AC 0 0 19351 2020-09-10
AC 0 4 6717 2020-09-10
AC 0 8 46511 2020-09-10
AC 0 2 23236 2020-09-10
AC 0 47 43151 2020-09-10
AC 0 26 19596 2020-09-10
AC 4 209 894470 2020-09-10
AC 0 0 15490 2020-09-11
AC 0 6 7534 2020-09-11
AC 0 2 26702 2020-09-11
AC 0 0 10420 2020-09-11
AC 0 0 12008 2020-09-11
AC 0 10 89072 2020-09-11
AC 0 -1 18696 2020-09-11
AC 0 3 34884 2020-09-11
AC 0 0 8473 2020-09-11
AC 0 0 9581 2020-09-11
AC 0 10 19299 2020-09-11
AC 0 18 19311 2020-09-11
AC 0 1 19955 2020-09-11
AC 0 1 18824 2020-09-11
AC 0 0 12241 2020-09-11
AC 1 25 413418 2020-09-11
AC 0 0 19351 2020-09-11
AC 0 6 6717 2020-09-11
AC 0 5 46511 2020-09-11
AC 0 3 23236 2020-09-11
AC 0 23 43151 2020-09-11
AC 0 15 19596 2020-09-11
AC 1 127 894470 2020-09-11
AC 0 6 15490 2020-09-12
AC 0 9 7534 2020-09-12
AC 0 1 26702 2020-09-12
AC 0 1 10420 2020-09-12
AC 0 0 12008 2020-09-12
AC 0 11 89072 2020-09-12
AC 0 0 18696 2020-09-12
AC 0 10 34884 2020-09-12
AC 0 0 8473 2020-09-12
AC 0 0 9581 2020-09-12
AC 0 20 19299 2020-09-12
AC 1 21 19311 2020-09-12
AC 0 0 19955 2020-09-12
AC 0 3 18824 2020-09-12
AC 0 16 12241 2020-09-12
AC 0 25 413418 2020-09-12
AC 0 0 19351 2020-09-12
AC 0 2 6717 2020-09-12
AC 0 2 46511 2020-09-12
AC 0 3 23236 2020-09-12
AC 0 0 43151 2020-09-12
AC 0 14 19596 2020-09-12
AC 1 144 894470 2020-09-12
AC 0 0 15490 2020-09-13
AC 0 1 7534 2020-09-13
AC 0 4 26702 2020-09-13
AC 0 0 10420 2020-09-13
AC 0 0 12008 2020-09-13
AC 0 0 89072 2020-09-13
AC 0 1 18696 2020-09-13
AC 0 2 34884 2020-09-13
AC 0 0 8473 2020-09-13
AC 0 0 9581 2020-09-13
AC 0 0 19299 2020-09-13
AC 0 0 19311 2020-09-13
AC 0 0 19955 2020-09-13
AC 0 1 18824 2020-09-13
AC 0 0 12241 2020-09-13
AC 2 8 413418 2020-09-13
AC 0 0 19351 2020-09-13
AC 0 0 6717 2020-09-13
AC 1 0 46511 2020-09-13
AC 0 0 23236 2020-09-13
AC 0 1 43151 2020-09-13
AC 0 0 19596 2020-09-13
AC 3 18 894470 2020-09-13
AC 0 0 15490 2020-09-14
AC 0 0 7534 2020-09-14
AC 0 0 26702 2020-09-14
AC 0 0 10420 2020-09-14
AC 0 0 12008 2020-09-14
AC 0 0 89072 2020-09-14
AC 0 0 18696 2020-09-14
AC 0 0 34884 2020-09-14
AC 0 0 8473 2020-09-14
AC 0 0 9581 2020-09-14
AC 0 0 19299 2020-09-14
AC 0 0 19311 2020-09-14
AC 0 0 19955 2020-09-14
AC 0 1 18824 2020-09-14
AC 0 0 12241 2020-09-14
AC 0 6 413418 2020-09-14
AC 0 0 19351 2020-09-14
AC 0 0 6717 2020-09-14
AC 0 0 46511 2020-09-14
AC 0 0 23236 2020-09-14
AC 0 0 43151 2020-09-14
AC 0 3 19596 2020-09-14
AC 0 10 894470 2020-09-14
AC 0 2 15490 2020-09-15
AC 0 2 7534 2020-09-15
AC 1 1 26702 2020-09-15
AC 0 0 10420 2020-09-15
AC 0 1 12008 2020-09-15
AC 0 8 89072 2020-09-15
AC 0 0 18696 2020-09-15
AC 0 2 34884 2020-09-15
AC 0 0 8473 2020-09-15
AC 0 2 9581 2020-09-15
AC 0 6 19299 2020-09-15
AC 0 8 19311 2020-09-15
AC 0 0 19955 2020-09-15
AC 0 0 18824 2020-09-15
AC 0 3 12241 2020-09-15
AC 1 33 413418 2020-09-15
AC 0 0 19351 2020-09-15
AC 0 5 6717 2020-09-15
AC 0 17 46511 2020-09-15
AC 0 5 23236 2020-09-15
AC 0 8 43151 2020-09-15
AC 0 8 19596 2020-09-15
AC 2 111 894470 2020-09-15
AC 0 4 15490 2020-09-16
AC 0 15 7534 2020-09-16
AC 0 0 26702 2020-09-16
AC 0 0 10420 2020-09-16
AC 0 0 12008 2020-09-16
AC 0 19 89072 2020-09-16
AC 0 -2 18696 2020-09-16
AC 0 17 34884 2020-09-16
AC 0 1 8473 2020-09-16
AC 0 0 9581 2020-09-16
AC 0 12 19299 2020-09-16
AC 0 2 19311 2020-09-16
AC 0 3 19955 2020-09-16
AC 0 0 18824 2020-09-16
AC 0 9 12241 2020-09-16
AC 1 17 413418 2020-09-16
AC 0 0 19351 2020-09-16
AC 0 -1 6717 2020-09-16
AC 0 5 46511 2020-09-16
AC 0 0 23236 2020-09-16
AC 0 65 43151 2020-09-16
AC 0 10 19596 2020-09-16
AC 1 176 894470 2020-09-16
AC 0 1 15490 2020-09-17
AC 0 5 7534 2020-09-17
AC 0 0 26702 2020-09-17
AC 0 2 10420 2020-09-17
AC 0 0 12008 2020-09-17
AC 0 26 89072 2020-09-17
AC 1 0 18696 2020-09-17
AC 0 6 34884 2020-09-17
AC 0 1 8473 2020-09-17
AC 0 1 9581 2020-09-17
AC 0 12 19299 2020-09-17
AC 0 25 19311 2020-09-17
AC 0 0 19955 2020-09-17
AC 0 4 18824 2020-09-17
AC 0 3 12241 2020-09-17
AC 2 32 413418 2020-09-17
AC 0 1 19351 2020-09-17
AC 0 1 6717 2020-09-17
AC 0 10 46511 2020-09-17
AC 0 5 23236 2020-09-17
AC 0 112 43151 2020-09-17
AC 0 6 19596 2020-09-17
AC 3 253 894470 2020-09-17
AC 0 1 15490 2020-09-18
AC 0 1 7534 2020-09-18
AC 0 -1 26702 2020-09-18
AC 0 0 10420 2020-09-18
AC 0 0 12008 2020-09-18
AC 0 24 89072 2020-09-18
AC 0 6 18696 2020-09-18
AC 0 7 34884 2020-09-18
AC 0 0 8473 2020-09-18
AC 0 3 9581 2020-09-18
AC 0 16 19299 2020-09-18
AC 1 42 19311 2020-09-18
AC 0 0 19955 2020-09-18
AC 0 0 18824 2020-09-18
AC 0 2 12241 2020-09-18
AC 0 23 413418 2020-09-18
AC 0 0 19351 2020-09-18
AC 0 -1 6717 2020-09-18
AC 0 7 46511 2020-09-18
AC 0 -1 23236 2020-09-18
AC 0 85 43151 2020-09-18
AC 0 12 19596 2020-09-18
AC 1 226 894470 2020-09-18
AC 0 1 15490 2020-09-19
AC 0 1 7534 2020-09-19
AC 0 1 26702 2020-09-19
AC 0 0 10420 2020-09-19
AC 0 0 12008 2020-09-19
AC 0 28 89072 2020-09-19
AC 0 2 18696 2020-09-19
AC 1 2 34884 2020-09-19
AC 0 8 8473 2020-09-19
AC 0 0 9581 2020-09-19
AC 0 6 19299 2020-09-19
AC 0 7 19311 2020-09-19
AC 0 3 19955 2020-09-19
AC 0 0 18824 2020-09-19
AC 0 1 12241 2020-09-19
AC 0 13 413418 2020-09-19
AC 0 1 19351 2020-09-19
AC 0 0 6717 2020-09-19
AC 0 6 46511 2020-09-19
AC 0 5 23236 2020-09-19
AC 0 25 43151 2020-09-19
AC 0 9 19596 2020-09-19
AC 1 119 894470 2020-09-19
AC 0 0 15490 2020-09-20
AC 0 0 7534 2020-09-20
AC 0 0 26702 2020-09-20
AC 0 0 10420 2020-09-20
AC 0 0 12008 2020-09-20
AC 0 2 89072 2020-09-20
AC 0 0 18696 2020-09-20
AC 0 2 34884 2020-09-20
AC 0 0 8473 2020-09-20
AC 0 0 9581 2020-09-20
AC 0 0 19299 2020-09-20
AC 0 0 19311 2020-09-20
AC 0 0 19955 2020-09-20
AC 0 0 18824 2020-09-20
AC 0 0 12241 2020-09-20
AC 0 14 413418 2020-09-20
AC 0 0 19351 2020-09-20
AC 0 0 6717 2020-09-20
AC 1 0 46511 2020-09-20
AC 0 0 23236 2020-09-20
AC 0 0 43151 2020-09-20
AC 0 0 19596 2020-09-20
AC 1 18 894470 2020-09-20
AC 0 2 15490 2020-09-21
AC 0 0 7534 2020-09-21
AC 0 2 26702 2020-09-21
AC 0 0 10420 2020-09-21
AC 0 0 12008 2020-09-21
AC 0 1 89072 2020-09-21
AC 0 1 18696 2020-09-21
AC 0 1 34884 2020-09-21
AC 0 0 8473 2020-09-21
AC 0 0 9581 2020-09-21
AC 0 3 19299 2020-09-21
AC 0 0 19311 2020-09-21
AC 0 0 19955 2020-09-21
AC 0 1 18824 2020-09-21
AC 0 0 12241 2020-09-21
AC 0 13 413418 2020-09-21
AC 0 0 19351 2020-09-21
AC 0 0 6717 2020-09-21
AC 0 0 46511 2020-09-21
AC 0 0 23236 2020-09-21
AC 0 0 43151 2020-09-21
AC 0 3 19596 2020-09-21
AC 0 27 894470 2020-09-21
AC 0 0 15490 2020-09-22
AC 0 8 7534 2020-09-22
AC 0 2 26702 2020-09-22
AC 0 0 10420 2020-09-22
AC 0 0 12008 2020-09-22
AC 0 25 89072 2020-09-22
AC 0 0 18696 2020-09-22
AC 0 4 34884 2020-09-22
AC 0 3 8473 2020-09-22
AC 0 6 9581 2020-09-22
AC 0 4 19299 2020-09-22
AC 0 15 19311 2020-09-22
AC 0 0 19955 2020-09-22
AC 0 0 18824 2020-09-22
AC 0 2 12241 2020-09-22
AC 1 20 413418 2020-09-22
AC 0 0 19351 2020-09-22
AC 0 0 6717 2020-09-22
AC 0 13 46511 2020-09-22
AC 1 1 23236 2020-09-22
AC 0 31 43151 2020-09-22
AC 0 6 19596 2020-09-22
AC 2 140 894470 2020-09-22
AC 0 4 15490 2020-09-23
AC 0 0 7534 2020-09-23
AC 0 2 26702 2020-09-23
AC 0 0 10420 2020-09-23
AC 0 0 12008 2020-09-23
AC 0 32 89072 2020-09-23
AC 0 4 18696 2020-09-23
AC 0 9 34884 2020-09-23
AC 0 3 8473 2020-09-23
AC 0 0 9581 2020-09-23
AC 0 23 19299 2020-09-23
AC 0 16 19311 2020-09-23
AC 0 -4 19955 2020-09-23
AC 0 0 18824 2020-09-23
AC 0 0 12241 2020-09-23
AC 1 19 413418 2020-09-23
AC 0 0 19351 2020-09-23
AC 0 0 6717 2020-09-23
AC 0 5 46511 2020-09-23
AC 0 2 23236 2020-09-23
AC 0 27 43151 2020-09-23
AC 0 9 19596 2020-09-23
AC 1 151 894470 2020-09-23
AC 0 3 15490 2020-09-24
AC 0 1 7534 2020-09-24
AC 0 4 26702 2020-09-24
AC 0 0 10420 2020-09-24
AC 0 1 12008 2020-09-24
AC 0 14 89072 2020-09-24
AC 0 0 18696 2020-09-24
AC 0 7 34884 2020-09-24
AC 0 6 8473 2020-09-24
AC 0 1 9581 2020-09-24
AC 0 12 19299 2020-09-24
AC 0 13 19311 2020-09-24
AC 0 2 19955 2020-09-24
AC 0 0 18824 2020-09-24
AC 0 0 12241 2020-09-24
AC 1 23 413418 2020-09-24
AC 0 4 19351 2020-09-24
AC 0 0 6717 2020-09-24
AC 0 8 46511 2020-09-24
AC 0 -1 23236 2020-09-24
AC 0 52 43151 2020-09-24
AC 0 9 19596 2020-09-24
AC 1 159 894470 2020-09-24
AC 0 2 15490 2020-09-25
AC 0 13 7534 2020-09-25
AC 0 1 26702 2020-09-25
AC 0 1 10420 2020-09-25
AC 0 0 12008 2020-09-25
AC 0 12 89072 2020-09-25
AC 0 0 18696 2020-09-25
AC 0 0 34884 2020-09-25
AC 0 0 8473 2020-09-25
AC 0 2 9581 2020-09-25
AC 0 9 19299 2020-09-25
AC 0 4 19311 2020-09-25
AC 0 0 19955 2020-09-25
AC 0 2 18824 2020-09-25
AC 0 0 12241 2020-09-25
AC 1 21 413418 2020-09-25
AC 0 0 19351 2020-09-25
AC 0 1 6717 2020-09-25
AC 0 10 46511 2020-09-25
AC 0 0 23236 2020-09-25
AC 0 66 43151 2020-09-25
AC 0 10 19596 2020-09-25
AC 1 154 894470 2020-09-25
AC 0 2 15490 2020-09-26
AC 0 11 7534 2020-09-26
AC 0 1 26702 2020-09-26
AC 0 0 10420 2020-09-26
AC 0 0 12008 2020-09-26
AC 0 9 89072 2020-09-26
AC 0 1 18696 2020-09-26
AC 0 3 34884 2020-09-26
AC 0 5 8473 2020-09-26
AC 0 6 9581 2020-09-26
AC 0 22 19299 2020-09-26
AC 0 25 19311 2020-09-26
AC 0 0 19955 2020-09-26
AC 0 0 18824 2020-09-26
AC 0 0 12241 2020-09-26
AC 2 29 413418 2020-09-26
AC 0 3 19351 2020-09-26
AC 0 3 6717 2020-09-26
AC 0 3 46511 2020-09-26
AC 0 0 23236 2020-09-26
AC 0 21 43151 2020-09-26
AC 0 5 19596 2020-09-26
AC 2 149 894470 2020-09-26
AC 0 0 15490 2020-09-27
AC 0 0 7534 2020-09-27
AC 0 0 26702 2020-09-27
AC 0 0 10420 2020-09-27
AC 0 0 12008 2020-09-27
AC 0 0 89072 2020-09-27
AC 0 0 18696 2020-09-27
AC 0 0 34884 2020-09-27
AC 0 0 8473 2020-09-27
AC 0 0 9581 2020-09-27
AC 0 0 19299 2020-09-27
AC 0 0 19311 2020-09-27
AC 0 0 19955 2020-09-27
AC 0 0 18824 2020-09-27
AC 0 0 12241 2020-09-27
AC 0 0 413418 2020-09-27
AC 0 0 19351 2020-09-27
AC 0 0 6717 2020-09-27
AC 0 0 46511 2020-09-27
AC 0 0 23236 2020-09-27
AC 0 0 43151 2020-09-27
AC 0 0 19596 2020-09-27
AC 1 15 894470 2020-09-27
AC 0 0 15490 2020-09-28
AC 0 0 7534 2020-09-28
AC 0 0 26702 2020-09-28
AC 0 0 10420 2020-09-28
AC 0 0 12008 2020-09-28
AC 1 0 89072 2020-09-28
